title,price,quantity,store,availability,primaryProductId,category,longSku,rollback,productType,storeName,storeAddress,storeCity,strikethrough,upc,usItemId,storePostalCode,storeStateOrProvinceCode,reducedPrice,clearance,wupc
Roku Premiere Streaming Player NEW 2018 - WITH $35 CREDIT TOWARDS SLING TV AND 30-DAY FREE TRIAL OF SHOWTIME,39.0,In stock,4,AVAILABLE,25SYEIFOS75L,Home Page/Electronics/Home Audio & Theater/Home Theater/Media Players & Recorders/Roku,3920RW,False,Streaming Media Players,Siloam Springs Supercenter,2901 Highway 412 E,Siloam Springs,False,829610002880,886364048,72761,AR,False,False,
Roku Express+ HD WITH $35 CREDIT TOWARDS SLING TV AND 30-DAY FREE TRIAL OF SHOWTIME,35.0,In stock,4,AVAILABLE,3PVD2LOF3Y40,Home Page/Electronics/Home Audio & Theater/Home Theater/Media Players & Recorders/Roku,3910RW,False,Streaming Media Players,Siloam Springs Supercenter,2901 Highway 412 E,Siloam Springs,False,829610001890,369278616,72761,AR,False,False,0082961000189
Google Chromecast Ultra,69.0,Out of stock,4,NOT_AVAILABLE,65O1BZRUJB52,"Home Page/Electronics/Smart Home/Smart Home Assistants, Controllers & Hubs/Google Home Products",GA3A00403A14,False,Streaming Media Players,Siloam Springs Supercenter,2901 Highway 412 E,Siloam Springs,False,811571018284,54742301,72761,AR,False,False,0081157101828
Google Chromecast 3rd Gen - NEW,35.0,In stock,4,AVAILABLE,2279A06GN55K,Home Page/Electronics/Home Audio & Theater/Home Theater/Media Players & Recorders/Google Chromecast,00842776106131,False,Streaming Media Players,Siloam Springs Supercenter,2901 Highway 412 E,Siloam Springs,False,842776106131,435188866,72761,AR,False,False,
,49.0,In stock,4,AVAILABLE,750SUEK3T2ND,,,False,Home Assistants,Siloam Springs Supercenter,2901 Highway 412 E,Siloam Springs,False,842776105592,434501418,72761,AR,False,False,0084277610559
"Onn Tilting TV Wall Mount Kit for 24"" to 84"" TVs with HDMI Cable (ONA16TM013E)",19.99,Out of stock,4,NOT_AVAILABLE,64K2BT2GINHG,Home Page/Electronics/TV & Video/TV Accessories/TV Mounts,00681131134477,True,TV & Monitor Mounts,Siloam Springs Supercenter,2901 Highway 412 E,Siloam Springs,False,681131134477,55836007,72761,AR,False,False,0068113113447
Google Chromecast 3rd Gen - NEW,35.0,In stock,8,AVAILABLE,2279A06GN55K,Home Page/Electronics/Home Audio & Theater/Home Theater/Media Players & Recorders/Google Chromecast,00842776106131,False,Streaming Media Players,Morrilton Supercenter,1621 North Business 9,Morrilton,False,842776106131,435188866,72110,AR,False,False,
HP DeskJet 2622 All-in-One Printer,49.0,Out of stock,4,NOT_AVAILABLE,7GJGB3FPIQSK,Home Page/Shop by Brand/Electronics by Brand/HP/HP Printers,V1N07A#1H5,False,Printers & All-in-Ones,Siloam Springs Supercenter,2901 Highway 412 E,Siloam Springs,False,191628246861,356481772,72761,AR,False,False,0019162824686
Roku Express HD WITH $35 CREDIT TOWARDS SLING TV AND 30-DAY FREE TRIAL OF SHOWTIME,29.0,In stock,8,AVAILABLE,5XJMBAL1NW3S,Home Page/Electronics/Home Audio & Theater/Home Theater/Media Players & Recorders/Roku,3900RW,False,Streaming Media Players,Morrilton Supercenter,1621 North Business 9,Morrilton,False,829610001814,562032082,72110,AR,False,False,0082961000181
Google Home,129.0,In stock,4,AVAILABLE,3OQDZH4PNG0Q,"Home Page/Electronics/Smart Home/Smart Home Assistants, Controllers & Hubs/Google Home Products",00811571018420,False,Home Assistants,Siloam Springs Supercenter,2901 Highway 412 E,Siloam Springs,False,811571018420,54742302,72761,AR,False,False,0081157101842
"ONN Full-Motion Wall Mount for 10""- 50"" TVs with Tilt and Swivel Articulating Arm and HDMI Cable (UL Certified)",14.99,Out of stock,4,NOT_AVAILABLE,3QA7SCOX4BIW,Home Page/Electronics/TV & Video/TV Accessories/TV Mounts,00681131134453,False,TV & Monitor Mounts,Siloam Springs Supercenter,2901 Highway 412 E,Siloam Springs,True,681131134453,55592117,72761,AR,False,False,0068113113445
Merge Cube,14.97,Out of stock,4,NOT_AVAILABLE,7CP1XCIIM2XG,"Home Page/Video Games/Video Game Accessories/Accessories for Nintendo, PC, Xbox and PlayStation Systems",ARC-01,False,Video Game Accessories,Siloam Springs Supercenter,2901 Highway 412 E,Siloam Springs,False,854590007105,968302018,72761,AR,False,False,0085459000710
Google Home Mini- Chalk,49.82,Out of stock,4,NOT_AVAILABLE,6K5R92Q662TH,"Home Page/Electronics/Smart Home/Smart Home Assistants, Controllers & Hubs/Smart Home Assistants & Voice Control/Smart Home Assistants",08427761019454,False,Home Assistants,Siloam Springs Supercenter,2901 Highway 412 E,Siloam Springs,False,,732881809,72761,AR,False,False,0842776101945
,5.0,In stock,4,AVAILABLE,43HVIF2ULWKY,,,False,VR Headsets,Siloam Springs Supercenter,2901 Highway 412 E,Siloam Springs,False,681131159630,616121782,72761,AR,False,False,0068113115963
Google Home Mini- Charcoal,49.82,Out of stock,4,NOT_AVAILABLE,2F1TBHZI2E3Z,"Home Page/Electronics/Smart Home/Smart Home Assistants, Controllers & Hubs/Smart Home Assistants & Voice Control/Smart Home Assistants",08427761021402,False,Home Assistants,Siloam Springs Supercenter,2901 Highway 412 E,Siloam Springs,False,,337724315,72761,AR,False,False,0842776102140
Onn 6Ft HDMICable,2.12,Out of stock,4,NOT_AVAILABLE,6WEJK59UQZCZ,Home Page/Electronics/Computers/Computer Accessories/Computer Cables & Connectors,00681131097727,False,Audio/Video Cables,Siloam Springs Supercenter,2901 Highway 412 E,Siloam Springs,False,681131097727,38236250,72761,AR,False,True,0068113109772
Roku Express HD WITH $35 CREDIT TOWARDS SLING TV AND 30-DAY FREE TRIAL OF SHOWTIME,29.0,In stock,4,AVAILABLE,5XJMBAL1NW3S,Home Page/Electronics/Home Audio & Theater/Home Theater/Media Players & Recorders/Roku,3900RW,False,Streaming Media Players,Siloam Springs Supercenter,2901 Highway 412 E,Siloam Springs,False,829610001814,562032082,72761,AR,False,False,0082961000181
"Full Motion TV Wall Mount 10-50"" TVs w/Tilt, Swivel Articulating Arm, HDMI Cable",12.99,Out of stock,4,NOT_AVAILABLE,5S72CY9R1Y2V,Home Page/Electronics/TV & Video/TV Accessories/TV Mounts,00681131118958,False,TV & Monitor Mounts,Siloam Springs Supercenter,2901 Highway 412 E,Siloam Springs,False,681131118958,45162260,72761,AR,False,True,0068113111895
"Google Smart TV Kit: Google Home Mini and Chromecast, Walmart Exclusive",74.0,Out of stock,4,NOT_AVAILABLE,311DOR9N5O2E,"Home Page/Electronics/Smart Home/Smart Home Assistants, Controllers & Hubs/Smart Home Assistants & Voice Control/Smart Home Assistants",00842776107244,False,Home Assistants,Siloam Springs Supercenter,2901 Highway 412 E,Siloam Springs,False,842776107244,719650769,72761,AR,False,False,
Roku Premiere Streaming Player NEW 2018 - WITH $35 CREDIT TOWARDS SLING TV AND 30-DAY FREE TRIAL OF SHOWTIME,39.0,In stock,8,AVAILABLE,25SYEIFOS75L,Home Page/Electronics/Home Audio & Theater/Home Theater/Media Players & Recorders/Roku,3920RW,False,Streaming Media Players,Morrilton Supercenter,1621 North Business 9,Morrilton,False,829610002880,886364048,72110,AR,False,False,
